,S.No.,Company,price Rs.,Day High Rs.
0,1,Larsen & Toubro,2364.4,2369
1,2,ITC,425.55,428.25
2,3,Nestle,21761.4,21849.6
3,4,REC,132.15,132.4
4,5,Hindustan Aeron,2920.2,2924.95
5,6,Glenmark Pharma,563.45,568.75
6,7,DLF,426.2,428.9
7,8,Bajaj Auto,4431.95,4439.7
8,9,Syngene Internation.,677,685.7
9,10,Chola Invest & Fin.,871.1,873.95
10,11,Anupam Rasayan India,1129.3,1180
11,12,Apollo Tyres,346.9,353.3
12,13,Finolex Cables,894.9,922.4
13,14,Aditya Birla Capital,167.2,168.2
14,15,Surya Roshni,798.75,827
15,16,Navin Fluorine Intl,4850.2,4865
16,17,Glenmark Life Scienc,504.3,525
17,18,Alkem Laboratories,3509.9,3520
18,19,CSB Bank,279.5,297.7
19,20,Indian Bank,322.4,328
20,21,GE T&D India,176.2,185
21,22,Polycab India,3205.35,3213
22,23,Axita Cotton,65,83
23,24,KEI Industries,1895.05,1922.55
24,25,Ethos Ltd.,1299,1339.55
25,26,Ramkrishna Forgings,326,331.7
26,27,Pricol,250.4,251.4
27,28,Exide Inds,195.85,196.35
28,29,Cigniti Technologies,863.4,865
29,30,Welspun India,87.6,89.9
30,31,Lloyds Metals&Energy,323.4,329.7
31,32,AGI Greenpac,413.7,421
32,33,Vertoz Advertising,245.15,279.5
33,34,Kirloskar Electric,99.65,103.4
34,35,Global Surfaces,226.2,229.95
35,36,Som Distilleries,167.85,177.9
36,37,TD Power Systems,174.45,177
37,38,Choice International,331.45,335
38,39,CCL Products (India),602.25,608
39,40,Royal Orchid Hotels,340.4,348.5
40,41,Mrs.Bectors Food,618.05,621
41,42,Safari Industries(I),2442.85,2499.95
42,43,Focus Lighting & Fix,771.4,773.3
43,44,Eimco Elecon (India),597.8,629
44,45,Pondy Oxides & Chem.,367.55,378
45,46,Jai Balaji Inds,59.8,63.4
46,47,Shrem,114,114
47,48,Sera Investments&Fin,82.05,90.65
48,49,Suryalata Spg Mills,1007.4,1012
49,50,Goyal Aluminiums,42.95,47.45
50,51,Tembo Global Inds.,230,235.95
51,52,Deep Industries,170.4,177.9
52,53,Lumax Industries,2050.15,2106.2
53,54,MOS Utility,115.55,115.55
54,55,Exhicon Events Media,104.11,104.2
55,56,Bajaj Steel Inds.,1210.4,1234
56,57,Barak Valley Cements,40.6,44
57,58,Ganesha Ecosphere,996.8,1020.2
58,59,Surani Steel Tubes,122.5,122.5
59,60,Vivanta Industries,5.89,5.9
60,61,VIRESCENT,100.94,100.94
61,62,Themis Medicare,1570.9,1591
62,63,RKEC Projects,73.6,80
63,64,Shilchar Tech,1910.9,1968
64,65,SRU Steels,35.7,35.71
65,66,Hardwyn India,363.95,367.95
66,67,Tapi FruitProcessing,170.45,170.45
67,68,Shree Vasu Logistics,166.2,183.95
68,69,Tashi India,116.5,116.5
69,70,Aerpace Indus.,8.05,8.2
70,71,Alufluoride,345.35,357
71,72,Shish Industries,326.85,340
72,73,Viviana Power Tech,147.65,147.65
73,74,Shubhlaxmi Jewel Art,70.15,71.55
74,75,Revathi Equipments,1403.5,1426
75,76,Prima Plastics,127.9,129
76,77,Shree Oswal Seeds,392.5,404
77,78,Kenvi Jewels,115.53,116.17
78,79,Vantage Knowledge,115.78,115.78
79,80,Spectrum Electrical,470.05,485
80,81,Aruna Hotel,18.7,19.45
81,82,T&I Global,144.41,147
82,83,Kintech Renewables,861.65,861.65
83,84,Remedium Lifecare,1572.95,1572.95
84,85,JL Morison India,2063.2,2274
85,86,Tejassvi Aaharam,8.82,8.82
86,87,MK Proteins,760,827
87,88,Delta Industrial,26.44,27.54
88,89,Ashirwad Capital,7.43,7.43
89,90,Choksi Imaging,57.31,58.45
90,91,Keerti Knowledge,39.8,39.8
91,92,W.S. Industries,73.95,73.95
92,93,Sprayking Agro,89,89
93,94,Hi-Klass Trading,5.62,5.62
94,95,JMD Ventures,20.38,20.57
95,96,Shervani Indl. Synd,425.05,488.4
96,97,Lorenzini Apparels,158.9,158.9
97,98,AAR Shyam India Inv.,5.41,5.41
98,99,GIR Natureview,119.95,119.95
99,100,Vertexplus Tech.,115,119.9
100,101,Samor Reality,72,72
101,102,UP Hotels,625,647.15
102,103,Arunjyoti Bio Vent,198.5,199.45
103,104,Sicagen India,24.35,25.8
104,105,Vasundhara Rasayans,159.45,170.1
105,106,KMS Medisurgi,83.54,83.58
106,107,IB Infotech,132.99,142.42
107,108,Patspin India,14.1,14.5
108,109,Focus Business Solut,46,46
109,110,Hawa Engineers,81.75,84.3
110,111,OP Chains,21.65,21.65
111,112,Escorp Asset Mgmnt.,55,55
112,113,Inland Printers,38.45,42.48
113,114,Arihant Foundn. &Hsg,39.65,39.95
114,115,Guj. Toolroom,19.33,19.33
115,116,Libord Securities,13.18,13.87
116,117,Vaghani Techno-Build,14.58,14.58
117,118,Pentokey Organy,71.37,71.37
118,119,Velox Industrie,17.01,17.01
119,120,Yuranus Infra.,30.27,30.27
120,121,Suraj Products,149.4,152
121,122,Ambani Organics,119.5,119.5
122,123,Gautam Exim,77.95,77.95
123,124,Arihant Tournesol,46.35,46.35
124,125,Rose Merc,45.52,45.52
125,126,Sterling Guaranty,19.56,19.56
126,127,Roopshri Resorts,34,34
127,128,PAE,7.05,7.05
128,129,Diksat Transworld,130,130
129,130,Rithwik Facility Mgm,63,63
130,131,Ganesh Films India,38,39.74
131,132,Bindal Exports,22.75,22.75
132,133,Elitecon Internation,10.5,10.5
133,134,Cityman,47.72,47.72
134,135,Shukra Pharma,96.35,96.35
135,136,Bandaram Pharma Pack,72.95,72.95
136,137,J Taparia Projects,10.15,10.15
137,138,MAC Hotels,48.7,48.7
138,139,Jigar Cables,32,32
139,140,Nutech Global,40.93,40.93
140,141,SPS International,23.73,23.73
141,142,Athena Constructions,24.08,28.8
142,143,Encash Entertainment,38.74,38.74
143,144,Global Offshore Serv,7.85,8.4
144,145,Shyama Infosys,5.74,5.74
145,146,Pulsar International,108.34,108.34
146,147,GTN Textiles,19.5,19.5
147,148,Prime Industries,30.62,30.62
148,149,Servotech Inds.,5.09,5.09
149,150,Valencia Nutrition,26,26
150,151,GTN Inds,11.95,12.25
151,152,Crescent Leasing,5.88,6.48
152,153,SK International,10,10
153,154,Spice Island Apparel,15.57,15.57
154,155,GI Engineering Soln.,16.25,16.25
155,156,Shalimar Agencies,44.36,44.36
156,157,Joy Realty,30.71,30.71
157,158,Aryavan Enterprise,23.99,23.99
158,159,Aris International,35.35,35.35
159,160,Sizemasters Technolg,28.82,28.82
160,161,Zodiac-JRD-MKJ,31.95,33.5
161,162,Advance Petro,462,462
162,163,Tavernier Resources,13.96,13.96
163,164,Thirdwave Financial,30.28,30.28
164,165,Sunshine Capital,161.34,161.34
165,166,Shah Foods,37.05,37.05
166,167,Munoth Capital Mkts.,150.8,150.8
167,168,Senthil Infotek,15.7,15.77
168,169,Eyantra ventures,321.3,321.3
169,170,Anand Projects,19.2,19.2
170,171,Abate AS Industries,16.8,16.8
171,172,Thakral Services,18.74,18.74
172,173,Kapil Cotex,70.49,70.49
173,174,TECIL Chem & Hydro,29.15,29.15
174,175,Regis Ind.,69.45,69.45
175,176,Swarna Securities,62.09,62.09
176,177,Rotographics (India),29.03,29.03
177,178,Agarwal Fortune Ind,7.49,7.49
178,179,Omega Interactive,40.84,40.84
179,180,Capfin India,14.2,14.2
180,181,Hira Automobiles,21.49,21.49
181,182,Mudunuru,10.56,10.56
182,183,Grand Foundry,5.75,5.75
183,184,Shraddha Prime,20.37,20.37
184,185,Master Chemicals,29.6,29.6
185,186,Blue Pearl Texspin,35.27,37.27
186,187,Nutricircle,169.65,169.65
187,188,Indergiri Finance,7.18,7.18
